Crypto,Amount,Price,Type,Timestamp
Bitcoin,1,8158533,sell,2025-05-03 14:13:58
Bitcoin,3,8158533,buy,2025-05-03 14:14:44
Bitcoin,1,8148015,buy,2025-05-03 14:48:30
Bitcoin,1,8138045,sell,2025-05-04 01:03:00
Bitcoin,1,8138045,sell,2025-05-04 01:04:21
dogecoin,2,15,sell,2025-05-05 11:37:02
